,Woody,Herb,Species
1,0,0,Chamaecrista_fasciculata
2,0,0,Clerodendrum_fragrans
3,0,0,Cocculus_carolinus
4,0,0,Cocculus_orbiculatus
5,0,0,Ficus_pumila
6,0,0,Holboellia_grandiflora
7,0,0,Ipomoea_aquatica
8,0,0,Krameria_lanceolata
9,0,0,Melochia_corchorifolia
10,0,0,Menispermum_dauricum
11,0,0,Paederia_foetida
12,0,0,Phlox_pilosa
13,0,0,Sargentodoxa_cuneata
14,0,0,Solanum_carolinense
15,0,0,Tetrastigma_hypoglaucum
16,0,0,Toxicodendron_radicans
17,0,0,Trachelospermum_axillare
18,0,0,Trachelospermum_jasminoides
19,0,0,Uncaria_rhynchophylla
20,0,0,Pueraria_montana
